Job,Salary (per year),Education,Setting,Outlook (percent growth),Ranking
Data Scientist,103500,Bachelors,Office,35,1
Mathematician,112110,Masters,Government,2,8
High School Teacher,62360,Bachelors,School,1,9
Actuary,113990,Bachelors,Insurance company,23,10
Postsecondary Teacher,80840,PhD,University,8,7
Logistician,77520,Bachelors,Company,18,6
Operations Research Analyst,85720,Bachelors,Office,23,4
Project Manager,95370,Bachelors,Office,6,5
Baker,32780,No formal educational credential ,Bakery,5,2
Health Information Technologist,58250,Associates,Office,16,3
